# V2 combination explorer - sandbox sanity check
# 400 shoes scored across 108 combinations
# Format: <disc> | <env> | <rock> | <agg> || target_stiff[lo-hi] dt/asym closure {ankle?} :: top5 shoes (score)


### BOULDER ###
boulder          | indoor  | -          | comfort    || stiff=0.25[0.05-0.45] dt=flat       asym=none     closure=slipper/velcro  :: Tulson Tolf Step 1 (50), La Sportiva Cobra 4:99 (49), Millet Easy Up (48), EB Mojo 3.0 (48), Five Ten Kirigami (47)
boulder          | indoor  | -          | balanced   || stiff=0.25[0.05-0.45] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra (54), La Sportiva Cobra Eco (53), Butora Nix (49), Ocun Iris (49), Tenaya Araí (48)
boulder          | indoor  | -          | moderate   || stiff=0.25[0.05-0.45] dt=moderate   asym=moderate closure=slipper/velcro  :: So iLL Street (55), So iLL Street LV (55), Tenaya Mundaka (51), Scarpa Instinct VSR LV (51), Scarpa Instinct S (51)
boulder          | indoor  | -          | aggressive || stiff=0.25[0.05-0.45] dt=aggressive asym=strong   closure=slipper/velcro  :: Scarpa Drago LV (55), Scarpa Drago (55), Ocun Fury (54), La Sportiva Futura (54), La Sportiva Solution Comp (53)
boulder          | outdoor | granite    | comfort    || stiff=0.45[0.20-0.70] dt=flat       asym=none     closure=slipper/velcro  :: Scarpa Force Women's (56), Scarpa Force (56), La Sportiva Tarantula Boulder (55), Five Ten Kirigami (55), Boreal Alpha (55)
boulder          | outdoor | limestone  | comfort    || stiff=0.35[0.15-0.55] dt=flat       asym=none     closure=slipper/velcro  :: Tulson Tolf IN (58), Evolv Elektra VTR (57), Boreal Alpha (57), Black Diamond Momentum (55), Tenaya Tanta (55)
boulder          | outdoor | sandstone  | comfort    || stiff=0.30[0.05-0.55] dt=flat       asym=none     closure=slipper/velcro  :: Millet Easy Up (58), La Sportiva Cobra 4:99 (57), Unparallel Up Mocc (57), Boreal Alpha (55), Black Diamond Momentum (53)
boulder          | outdoor | mixed      | comfort    || stiff=0.35[0.15-0.55] dt=flat       asym=none     closure=slipper/velcro  :: Millet Easy Up (52), EB Mojo 3.0 (52), Five Ten Kirigami (51), Tulson Tolf IN (50), Evolv Elektra VTR (49)
boulder          | outdoor | granite    | balanced   || stiff=0.45[0.20-0.70] dt=slight     asym=slight   closure=slipper/velcro  :: Boreal Beta (61), Evolv Kira (61), Scarpa Vapor S Women's (56), Scarpa Vapor S (56), Black Diamond Method (56)
boulder          | outdoor | limestone  | balanced   || stiff=0.35[0.15-0.55] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra Eco (61), Tenaya Araí (60), La Sportiva Cobra (60), Scarpa Veloce (58), Scarpa Veloce Women's (58)
boulder          | outdoor | sandstone  | balanced   || stiff=0.30[0.05-0.55] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra Eco (63), La Sportiva Cobra (62), Tenaya Araí (58), Butora Nix (57), Millet Siurana Evo (56)
boulder          | outdoor | mixed      | balanced   || stiff=0.35[0.15-0.55] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra Eco (53), Tenaya Araí (52), La Sportiva Cobra (52), Scarpa Veloce (50), Scarpa Veloce Women's (50)
boulder          | outdoor | granite    | moderate   || stiff=0.45[0.20-0.70] dt=moderate   asym=moderate closure=slipper/velcro  :: Saltic Avax (63), Scarpa Instinct VS (62), Butora Rubicon (61), Tenaya Mundaka (59), Scarpa Instinct VSR LV (59)
boulder          | outdoor | limestone  | moderate   || stiff=0.35[0.15-0.55] dt=moderate   asym=moderate closure=slipper/velcro  :: Tenaya Mundaka (63), Scarpa Instinct VSR LV (63), Scarpa Instinct S (63), So iLL Stay LV (62), So iLL Stay (62)
boulder          | outdoor | sandstone  | moderate   || stiff=0.30[0.05-0.55] dt=moderate   asym=moderate closure=slipper/velcro  :: So iLL Stay LV (62), So iLL Stay (62), Tenaya Mundaka (61), Scarpa Instinct VSR LV (61), Scarpa Instinct VS Women's (61)
boulder          | outdoor | mixed      | moderate   || stiff=0.35[0.15-0.55] dt=moderate   asym=moderate closure=slipper/velcro  :: Tenaya Mundaka (55), Scarpa Instinct VSR LV (55), Scarpa Instinct S (55), So iLL Stay LV (54), So iLL Stay (54)
boulder          | outdoor | granite    | aggressive || stiff=0.45[0.20-0.70] dt=aggressive asym=strong   closure=slipper/velcro  :: Unparallel Flagship LV (63), Unparallel Flagship (63), Ocun Diamond S (63), Boreal Mutant (63), La Sportiva Solution (62)
boulder          | outdoor | limestone  | aggressive || stiff=0.35[0.15-0.55] dt=aggressive asym=strong   closure=slipper/velcro  :: Butora Acro Comp (63), Evolv Zenist (63), Evolv Zenist Pro (63), Five Ten Hiangle Pro (62), Andrea Boldrini Pantera AB (62)
boulder          | outdoor | sandstone  | aggressive || stiff=0.30[0.05-0.55] dt=aggressive asym=strong   closure=slipper/velcro  :: La Sportiva Solution Comp (63), Butora Gomi (63), Unparallel Souped Up (63), La Sportiva Solution Comp Woman (63), Mad Rock RedLine Strap (63)
boulder          | outdoor | mixed      | aggressive || stiff=0.35[0.15-0.55] dt=aggressive asym=strong   closure=slipper/velcro  :: Butora Acro Comp (55), Evolv Zenist (55), Evolv Zenist Pro (55), Five Ten Hiangle Pro (54), Andrea Boldrini Pantera AB (54)
boulder          | both    | granite    | comfort    || stiff=0.40[0.20-0.60] dt=flat       asym=none     closure=slipper/velcro  :: Boreal Alpha (57), Tulson Tolf IN (56), Unparallel Up Mocc (55), Millet Easy Up (54), Scarpa Force Women's (54)
boulder          | both    | limestone  | comfort    || stiff=0.30[0.15-0.45] dt=flat       asym=none     closure=slipper/velcro  :: La Sportiva Cobra 4:99 (57), Tulson Tolf IN (56), Boreal Alpha (55), Black Diamond Momentum (53), Tenaya Tanta (53)
boulder          | both    | sandstone  | comfort    || stiff=0.25[0.05-0.45] dt=flat       asym=none     closure=slipper/velcro  :: La Sportiva Cobra 4:99 (57), Millet Easy Up (56), Unparallel Up Mocc (55), Boreal Alpha (53), Black Diamond Momentum (51)
boulder          | both    | mixed      | comfort    || stiff=0.30[0.15-0.45] dt=flat       asym=none     closure=slipper/velcro  :: Millet Easy Up (50), EB Mojo 3.0 (50), Five Ten Kirigami (49), La Sportiva Cobra 4:99 (49), Unparallel Up Mocc (49)
boulder          | both    | granite    | balanced   || stiff=0.40[0.20-0.60] dt=slight     asym=slight   closure=slipper/velcro  :: Boreal Beta (59), Evolv Kira (59), Scarpa Vapor S Women's (58), Scarpa Vapor S (58), Boreal Alpha (55)
boulder          | both    | limestone  | balanced   || stiff=0.30[0.15-0.45] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra Eco (63), La Sportiva Cobra (62), Tenaya Araí (58), Butora Nix (57), Ocun Iris (57)
boulder          | both    | sandstone  | balanced   || stiff=0.25[0.05-0.45] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra (62), La Sportiva Cobra Eco (61), Butora Nix (57), Tenaya Araí (56), Mad Rock Remora HV (55)
boulder          | both    | mixed      | balanced   || stiff=0.30[0.15-0.45] dt=slight     asym=slight   closure=slipper/velcro  :: La Sportiva Cobra Eco (55), La Sportiva Cobra (54), Tenaya Araí (50), Butora Nix (49), Ocun Iris (49)
boulder          | both    | granite    | moderate   || stiff=0.40[0.20-0.60] dt=moderate   asym=moderate closure=slipper/velcro  :: Tenaya Mundaka (61), Scarpa Instinct VSR LV (61), Scarpa Instinct S (61), Saltic Avax (61), Butora Rubicon (59)
boulder          | both    | limestone  | moderate   || stiff=0.30[0.15-0.45] dt=moderate   asym=moderate closure=slipper/velcro  :: So iLL Stay LV (62), So iLL Stay (62), Tenaya Mundaka (61), Scarpa Instinct VSR LV (61), Scarpa Instinct S (61)
boulder          | both    | sandstone  | moderate   || stiff=0.25[0.05-0.45] dt=moderate   asym=moderate closure=slipper/velcro  :: So iLL Street (63), So iLL Street LV (63), Tenaya Mundaka (59), Scarpa Instinct VSR LV (59), Scarpa Instinct VS Women's (59)
boulder          | both    | mixed      | moderate   || stiff=0.30[0.15-0.45] dt=moderate   asym=moderate closure=slipper/velcro  :: So iLL Stay LV (54), So iLL Stay (54), Tenaya Mundaka (53), Scarpa Instinct VSR LV (53), Scarpa Instinct S (53)
boulder          | both    | granite    | aggressive || stiff=0.40[0.20-0.60] dt=aggressive asym=strong   closure=slipper/velcro  :: Lowa Rocket (63), La Sportiva Solution (62), Boreal Ninja (62), Red Chili Voltage 3 (62), Tenaya Mastia (62)
boulder          | both    | limestone  | aggressive || stiff=0.30[0.15-0.45] dt=aggressive asym=strong   closure=slipper/velcro  :: La Sportiva Solution Comp (63), Butora Gomi (63), Evolv Shaman Pro (63), Black Diamond Shadow (63), Wild Climb Dagara (63)
boulder          | both    | sandstone  | aggressive || stiff=0.25[0.05-0.45] dt=aggressive asym=strong   closure=slipper/velcro  :: Scarpa Drago LV (63), Scarpa Drago (63), La Sportiva Futura (62), La Sportiva Solution Comp (61), Butora Gomi (61)
boulder          | both    | mixed      | aggressive || stiff=0.30[0.15-0.45] dt=aggressive asym=strong   closure=slipper/velcro  :: La Sportiva Solution Comp (55), Butora Gomi (55), Evolv Shaman Pro (55), Black Diamond Shadow (55), Wild Climb Dagara (55)

### SPORT ###
sport            | indoor  | -          | comfort    || stiff=0.40[0.20-0.60] dt=flat       asym=none     closure=velcro/lace     :: Climb X Rave X Strap (55), Millet Easy Up (54), EB Mojo 3.0 (54), Five Ten Kirigami (53), Climb X Rave NLV (53)
sport            | indoor  | -          | balanced   || stiff=0.40[0.20-0.60] dt=slight     asym=slight   closure=velcro/lace     :: Tenaya Araí (54), Andrea Boldrini T-Rex (53), Andrea Boldrini Spider (53), Lowa Sparrow VCR (52), Boreal Beta (51)
